senator_id,name,full_name,birthdate,gender,race_ethnicity,education,committee_roles,religion
Chris_Coons_DE,Chris Coons,Chris Coons,1963-09-09,Male,,"[{""degree"": ""BA"", ""institution"": ""amherst college"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""yale university"", ""year"": null}]","Senate Committee on Appropriations|Commerce, Justice, Science, and Related Agencies|Department of Defense (Ranking Member)|Energy and Water Development|Financial Services and General Government|State, Foreign Operations, and Related Programs|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on Foreign Relations|Africa and Global Health Policy|East Asia, the Pacific, and International Cybersecurity Policy (Ranking Member)|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy|State Department and USAID Management, International Operations, and Bilateral International Development|Senate Committee on Small Business and Entrepreneurship|Senate Committee on the Judiciary|Crime and Counterterrorism|Border Security and Immigration|Intellectual Property|Privacy, Technology, and the Law|Senate Select Committee on Ethics (Vice Chairman)",Presbyterian
Chris_Murphy_CT,Chris Murphy,Chris Murphy,1973-08-03,Male,,"[{""degree"": ""BA"", ""institution"": ""williams college"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university connecticut"", ""year"": null}]","Senate Committee on Appropriations|Department of Defense|Department of Homeland Security (Ranking Member)|Departments of Labor, Health and Human Services, and Education, and Related Agencies|State, Foreign Operations, and Related Programs|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on Foreign Relations|Europe and Regional Security Cooperation (Ranking Member)|Near East, South Asia, Central Asia, and Counterterrorism|Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues|Senate Committee on Health, Education, Labor, and Pensions|Employment and Workplace Safety|Primary Health and Retirement Security",Protestant unspecified
Chris_Van_Hollen_MD,Chris Van Hollen,Chris Van Hollen,1959-01-10,Male,,"[{""degree"": ""BA"", ""institution"": ""swarthmore college"", ""year"": null}, {""degree"": null, ""institution"": ""harvard university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""georgetown university"", ""year"": null}]","Senate Committee on Appropriations|Commerce, Justice, Science, and Related Agencies (Ranking Member)|Financial Services and General Government|Department of Homeland Security|Department of Interior, Environment, and Related Agencies|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on Banking, Housing, and Urban Affairs|Housing, Transportation, and Community Development|National Security and International Trade and Finance|Senate Committee on Foreign Relations|Africa and Global Health Policy|East Asia, the Pacific, and International Cybersecurity Policy|State Department and USAID Management, International Operations, and Bilateral International Development (Ranking Member)|Senate Committee on the Budget|Digital Assets",Episcopalian
Chuck_Grassley_IA,Chuck Grassley,Chuck Grassley,1933-09-17,Male,,"[{""degree"": ""BA"", ""institution"": ""university northern iowa"", ""year"": null}, {""degree"": ""MA"", ""institution"": ""university northern iowa"", ""year"": null}, {""degree"": null, ""institution"": ""university iowa"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade|Food and Nutrition, Specialty Crops, Organics, and Research|Rural Development, Energy, and Credit|Senate Committee on Finance|International Trade, Customs, and Global Competitiveness|Social Security, Pensions, and Family Policy (Chairman)|Taxation and IRS Oversight|Senate Committee on the Budget|Senate Committee on the Judiciary (Chairman)|Joint Committee on Taxation|United States Senate Caucus on International Narcotics Control",Baptist
Chuck_Schumer_NY,Chuck Schumer,Chuck Schumer,1950-11-23,Male,,"[{""degree"": ""BA"", ""institution"": ""harvard university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""harvard university"", ""year"": null}]",Senate Committee on Rules and Administration|Senate Select Committee on Intelligence (Ex Officio),Jewish
Cindy_Hyde-Smith_MS,Cindy Hyde-Smith,Cindy Hyde-Smith,1959-05-10,Female,,"[{""degree"": null, ""institution"": ""copiah\u2013lincoln community college"", ""year"": null}, {""degree"": ""BA"", ""institution"": ""university southern mississippi"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade (Chairman)|Conservation, Forestry, Natural Resources, and Biotechnology|Livestock, Dairy, Poultry, and Food Safety|Senate Committee on Appropriations|Agriculture, Rural Development, Food and Drug Administration, and Related Agencies|Energy and Water Development|Department of Homeland Security|Departments of Labor, Health and Human Services, and Education, and Related Agencies|Military Construction, Veterans Affairs, and Related Agencies|Transportation, Housing and Urban Development, and Related Agencies (Chairman)|Senate Committee on Energy and Natural Resources|Energy|Public Lands, Forests, and Mining|Senate Committee on Rules and Administration|Joint Committee of Congress on the Library",Baptist
Cory_Booker_NJ,Cory Booker,Cory Booker,1969-04-27,Male,,"[{""degree"": ""BA"", ""institution"": ""stanford university"", ""year"": null}, {""degree"": ""MA"", ""institution"": ""stanford university"", ""year"": null}, {""degree"": ""MA"", ""institution"": ""queen's college oxford"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""yale university"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade (Ranking Member)|Food and Nutrition, Specialty Crops, Organics, and Research|Livestock, Dairy, Poultry, and Food Safety|Senate Committee on Foreign Relations|Africa and Global Health Policy (Ranking Member)|Europe and Regional Security Cooperation|Near East, South Asia, Central Asia, and Counterterrorism|Senate Committee on Small Business and Entrepreneurship|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights (Ranking Member)|Crime and Counterterrorism|Border Security and Immigration|the Constitution",Baptist
Cynthia_Lummis_WY,Cynthia Lummis,Cynthia Lummis,1954-09-10,Female,,"[{""degree"": ""BS"", ""institution"": ""university wyoming"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university wyoming"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|Securities, Insurance, and Investment|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Consumer Protection, Technology, and Data Privacy|Science, Manufacturing, and Competitiveness|Senate Committee on Environment and Public Works|Clean Air, Climate, and Nuclear Innovation and Safety (Chairman)|Fisheries, Wildlife, and Water|Transportation and Infrastructure|Digital Assets (Chairman)",Lutheran
Dan_Sullivan_AK,Dan Sullivan,Dan Sullivan,1964-11-13,Male,,"[{""degree"": ""BA"", ""institution"": ""harvard university"", ""year"": null}, {""degree"": null, ""institution"": ""georgetown universitymsjd"", ""year"": null}]","Senate Committee on Armed Services|Airland|Readiness and Management Support (Chairman)|Seapower|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Coast Guard, Maritime, and Fisheries (Chairman)|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Environment and Public Works|Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight|Fisheries, Wildlife, and Water|Transportation and Infrastructure|Senate Committee on Veterans' Affairs",Catholic
Dave_McCormick_PA,Dave McCormick,Dave McCormick,1965-08-17,Male,,"[{""degree"": ""BS"", ""institution"": ""united states military academy"", ""year"": null}, {""degree"": ""MA"", ""institution"": ""princeton university"", ""year"": null}, {""degree"": ""PHD"", ""institution"": ""princeton university"", ""year"": null}]","Senate Committee on Banking, Housing, and Urban Affairs|Housing, Transportation, and Community Development|National Security and International Trade and Finance|Senate Committee on Energy and Natural Resources|Energy (Chairman)|Water and Power|Senate Committee on Foreign Relations|East Asia, the Pacific, and International Cybersecurity Policy|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy|Near East, South Asia, Central Asia, and Counterterrorism (Chairman)|Joint Economic Committee|Senate Special Committee on Aging|Digital Assets",Presbyterian
Deb_Fischer_NE,Deb Fischer,Deb Fischer,1951-03-01,Female,,"[{""degree"": ""BS"", ""institution"": ""university nebraska\u2013lincoln"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Livestock, Dairy, Poultry, and Food Safety|Rural Development, Energy, and Credit|Senate Committee on Appropriations|Agriculture, Rural Development, Food and Drug Administration, and Related Agencies|Commerce, Justice, Science, and Related Agencies|Financial Services and General Government|Department of Interior, Environment, and Related Agencies|Legislative Branch|Military Construction, Veterans Affairs, and Related Agencies|Senate Committee on Armed Services|Airland|Readiness and Management Support|Strategic Forces (Chairman)|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media (Chairman)|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Rules and Administration|Joint Committee on Printing|Joint Committee of Congress on the Library|Senate Select Committee on Ethics",Presbyterian
Dick_Durbin_IL,Dick Durbin,Dick Durbin,1944-11-21,Male,,"[{""degree"": ""BS"", ""institution"": ""georgetown university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""georgetown university"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade|Livestock, Dairy, Poultry, and Food Safety|Senate Committee on Appropriations|Department of Defense|Energy and Water Development|Financial Services and General Government|Departments of Labor, Health and Human Services, and Education, and Related Agencies|State, Foreign Operations, and Related Programs|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on the Judiciary (Ranking Member)|Crime and Counterterrorism (Ranking Member)",Catholic
Ed_Markey_MA,Ed Markey,Ed Markey,1946-07-11,Male,,"[{""degree"": ""BA"", ""institution"": ""boston college"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""boston college"", ""year"": null}]","Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Environment and Public Works|Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight|Clean Air, Climate, and Nuclear Innovation and Safety|Transportation and Infrastructure|Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Primary Health and Retirement Security (Ranking Member)|Senate Committee on Small Business and Entrepreneurship (Ranking Member)",Catholic
Elissa_Slotkin_MI,Elissa Slotkin,Elissa Slotkin,1976-07-10,Female,,"[{""degree"": ""BA"", ""institution"": ""cornell university"", ""year"": null}, {""degree"": null, ""institution"": ""columbia university"", ""year"": null}]","Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade|Livestock, Dairy, Poultry, and Food Safety (Ranking Member)|Senate Committee on Armed Services|Airland|Cybersecurity|Emerging Threats and Capabilities (Ranking Member)|Senate Committee on Homeland Security and Governmental Affairs|Disaster Management, District of Columbia, and Census|Border Management, Federal Workforce, and Regulatory Affairs|Senate Committee on Veterans' Affairs",Jewish
Elizabeth_Warren_MA,Elizabeth Warren,Elizabeth Warren,1949-06-22,Female,,"[{""degree"": null, ""institution"": ""george washington university"", ""year"": null}, {""degree"": ""BS"", ""institution"": ""university houston"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""rutgers university"", ""year"": null}]","Senate Committee on Armed Services|Personnel (Ranking Member)|Readiness and Management Support|Strategic Forces|Senate Committee on Banking, Housing, and Urban Affairs (Ranking Member)|Economic Policy (Ex Officio)|Financial Institutions and Consumer Protection (Ex Officio)|Housing, Transportation, and Community Development (Ex Officio)|National Security and International Trade and Finance (Ex Officio)|Securities, Insurance, and Investment (Ex Officio)|Senate Committee on Finance|Health Care|International Trade, Customs, and Global Competitiveness|Taxation and IRS Oversight|Senate Special Committee on Aging|Digital Assets (Ex Officio)",Methodist
Eric_Schmitt_MO,Eric Schmitt,Eric Schmitt,1975-06-20,Male,,"[{""degree"": ""BA"", ""institution"": ""truman state university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""saint louis university"", ""year"": null}]","Senate Committee on Armed Services|Airland|Cybersecurity|Emerging Threats and Capabilities|Readiness and Management Support|Senate Committee on Commerce, Science, and Transportation|Aviation, Space, and Innovation|Telecommunications and Media|Science, Manufacturing, and Competitiveness|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Federal Courts, Oversight, Agency Action, and Federal Rights|Intellectual Property|the Constitution (Chairman)|Joint Economic Committee (Vice Chairman)",Catholic
Gary_Peters_MI,Gary Peters,Gary Peters,1958-12-01,Male,,"[{""degree"": ""BA"", ""institution"": ""alma college"", ""year"": null}, {""degree"": ""MBA"", ""institution"": ""university detroit mercy"", ""year"": null}, {""degree"": null, ""institution"": ""wayne state universityjdma"", ""year"": null}, {""degree"": ""MA"", ""institution"": ""michigan state university"", ""year"": null}]","Senate Committee on Appropriations|Agriculture, Rural Development, Food and Drug Administration, and Related Agencies|Commerce, Justice, Science, and Related Agencies|Energy and Water Development|Department of Homeland Security|Military Construction, Veterans Affairs, and Related Agencies|Senate Committee on Armed Services|Airland|Cybersecurity|Emerging Threats and Capabilities|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Coast Guard, Maritime, and Fisheries|Science, Manufacturing, and Competitiveness|Surface Transportation, Freight, Pipelines, and Safety (Ranking Member)|Senate Committee on Homeland Security and Governmental Affairs (Ranking Member)|Permanent Subcommittee on Investigations (Ex Officio)|Disaster Management, District of Columbia, and Census (Ex Officio)|Border Management, Federal Workforce, and Regulatory Affairs (Ex Officio)",Episcopalian
Jack_Reed_RI,Jack Reed,Jack Reed,1949-11-12,Male,,"[{""degree"": ""BS"", ""institution"": ""united states military academy"", ""year"": null}, {""degree"": null, ""institution"": ""harvard universitymppjd"", ""year"": null}]","Senate Committee on Appropriations|Commerce, Justice, Science, and Related Agencies|Department of Defense|Financial Services and General Government (Ranking Member)|Departments of Labor, Health and Human Services, and Education, and Related Agencies|Military Construction, Veterans Affairs, and Related Agencies|Transportation, Housing and Urban Development, and Related Agencies|Senate Committee on Armed Services (Ranking Member)|Airland (Ex Officio)|Cybersecurity (Ex Officio)|Emerging Threats and Capabilities (Ex Officio)|Personnel (Ex Officio)|Readiness and Management Support (Ex Officio)|Seapower (Ex Officio)|Strategic Forces (Ex Officio)|Senate Committee on Banking, Housing, and Urban Affairs|Economic Policy|Financial Institutions and Consumer Protection|Securities, Insurance, and Investment|Senate Select Committee on Intelligence (Ex Officio)",Catholic
Jacky_Rosen_NV,Jacky Rosen,Jacky Rosen,1957-08-02,Female,,"[{""degree"": ""BA"", ""institution"": ""university minnesota"", ""year"": null}, {""degree"": null, ""institution"": ""clark county community college"", ""year"": null}]","Senate Committee on Armed Services|Cybersecurity (Ranking Member)|Emerging Threats and Capabilities|Strategic Forces|Senate Committee on Commerce, Science, and Transportation|Aviation, Space, and Innovation|Telecommunications and Media|Science, Manufacturing, and Competitiveness|Senate Committee on Foreign Relations|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy|Near East, South Asia, Central Asia, and Counterterrorism (Ranking Member)|Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues|Senate Committee on Small Business and Entrepreneurship",Jewish
James_Lankford_OK,James Lankford,James Lankford,1968-03-04,Male,,"[{""degree"": ""BS"", ""institution"": ""university texas austin"", ""year"": null}, {""degree"": null, ""institution"": ""southwestern baptist theological seminary"", ""year"": null}]","Senate Committee on Finance|Energy, Natural Resources, and Infrastructure (Chairman)|Health Care|Taxation and IRS Oversight|Senate Committee on Homeland Security and Governmental Affairs|Permanent Subcommittee on Investigations|Border Management, Federal Workforce, and Regulatory Affairs (Chairman)|Senate Select Committee on Ethics (Chairman)|Senate Select Committee on Intelligence",Baptist
Jeanne_Shaheen_NH,Jeanne Shaheen,Jeanne Shaheen,1947-01-28,Female,,"[{""degree"": ""BA"", ""institution"": ""shippensburg university"", ""year"": null}, {""degree"": null, ""institution"": ""university mississippi"", ""year"": null}]","Senate Committee on Appropriations|Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Ranking Member)|Commerce, Justice, Science, and Related Agencies|Department of Defense|Department of Homeland Security|Departments of Labor, Health and Human Services, and Education, and Related Agencies|State, Foreign Operations, and Related Programs|Senate Committee on Armed Services|Emerging Threats and Capabilities|Readiness and Management Support|Seapower|Senate Committee on Foreign Relations (Ranking Member)|Africa and Global Health Policy (Ex Officio)|East Asia, the Pacific, and International Cybersecurity Policy (Ex Officio)|Europe and Regional Security Cooperation (Ex Officio)|Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy (Ex Officio)|Near East, South Asia, Central Asia, and Counterterrorism (Ex Officio)|State Department and USAID Management, International Operations, and Bilateral International Development (Ex Officio)|Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues (Ex Officio)|Senate Committee on Small Business and Entrepreneurship|Senate Select Committee on Ethics|Commission on Security and Cooperation in Europe",Protestant unspecified
Jeff_Merkley_OR,Jeff Merkley,Jeff Merkley,1956-10-24,Male,,"[{""degree"": ""BA"", ""institution"": ""stanford university"", ""year"": null}, {""degree"": null, ""institution"": ""princeton university"", ""year"": null}]","Senate Committee on Appropriations|Agriculture, Rural Development, Food and Drug Administration, and Related Agencies|Commerce, Justice, Science, and Related Agencies|Energy and Water Development|Department of Interior, Environment, and Related Agencies (Ranking Member)|Departments of Labor, Health and Human Services, and Education, and Related Agencies|State, Foreign Operations, and Related Programs|Senate Committee on Environment and Public Works|Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight (Ranking Member)|Clean Air, Climate, and Nuclear Innovation and Safety|Transportation and Infrastructure|Senate Committee on Foreign Relations|Africa and Global Health Policy|East Asia, the Pacific, and International Cybersecurity Policy|Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues|Senate Committee on Rules and Administration|Senate Committee on the Budget (Ranking Member)|Joint Committee on Printing",Lutheran
